"","or_lon","or_lat","dest_lon","dest_lat"
"281",114.05907,22.52822,114.06845,22.52383
"282",114.08398,22.54542,114.07635,22.54312
"283",114.04785,22.53905,114.12392,22.54602
"284",113.92004,22.52667,114.00122,22.52998
"285",114.09905,22.57682,114.09924,22.57777
"286",114.10868,22.61053,114.1081,22.61103
"287",113.92709,22.54247,113.92852,22.54882
"288",113.94953,22.57597,113.94877,22.5797
"289",113.951,22.56903,113.91035,22.53003
"290",113.91372,22.53093,113.918,22.52385
"291",114.06817,22.53058,114.07983,22.53635
"292",114.06768,22.52388,114.06302,22.51935
"293",114.07557,22.53888,114.05707,22.5276
"294",114.07557,22.53892,114.07453,22.53972
"295",114.11338,22.54338,114.12746,22.5711
"296",114.12513,22.57447,114.12558,22.57483
"297",114.1128,22.5427,114.06915,22.53148
"298",114.067,22.52515,114.12637,22.54512
"299",114.09127,22.53817,113.99348,22.53083
"300",114.10173,22.5427,113.99078,22.53075
"301",113.95747,22.53392,113.95374,22.54995
"302",114.0445,22.51412,114.12675,22.54268
"303",114.12452,22.5416,114.17516,22.56822
"304",114.12267,22.54105,114.09043,22.538
"305",114.07715,22.55308,114.0746,22.5514
"306",114.05788,22.52588,114.06855,22.52397
"307",114.09023,22.54153,114.09067,22.54158
"308",114.12524,22.5533,114.12587,22.54558
"309",114.11343,22.5451,114.11352,22.54502
"310",114.11493,22.55082,114.1277,22.56005
"311",114.12252,22.55577,114.12212,22.55207
"312",114.11048,22.54632,114.1097,22.5378
"313",114.03715,22.53063,113.98273,22.5231
"314",114.06197,22.57115,114.0498,22.5673
"315",114.04743,22.56747,114.03195,22.52995
"316",114.06728,22.52407,114.06728,22.52407
"317",114.02914,22.52682,114.10751,22.56702
"318",114.1307,22.61085,114.1388,22.60522
"319",114.11964,22.6112,114.11137,22.61413
"320",114.08168,22.54288,114.08052,22.55793
"321",114.12138,22.55182,114.11542,22.55862
"322",113.92001,22.5236,113.89862,22.55625
"323",113.91814,22.52418,113.91437,22.53597
"324",114.0115,22.534,114.01775,22.54167
"325",114.09693,22.54017,114.08257,22.54413
"326",114.10823,22.53723,114.1326,22.55037
"327",114.10854,22.59318,114.11929,22.59777
"328",114.11822,22.60548,114.12407,22.60872
"329",114.09097,22.54145,114.11367,22.5446
"330",114.08403,22.54898,114.03719,22.52355
"331",114.1165,22.54475,114.1192,22.54445
"332",114.13375,22.54947,114.11697,22.54523
"333",113.92442,22.54773,113.88077,22.5689
"334",113.945,22.5414,113.95924,22.54315
"335",113.97033,22.53958,113.96398,22.53477
"336",114.02365,22.5254,114.0325,22.52313
"337",114.02338,22.52802,114.0684,22.52385
"338",114.11195,22.54763,114.10081,22.62043
"339",114.03935,22.56465,114.03632,22.56297
"340",113.97967,22.55757,113.94209,22.55522
"341",114.11197,22.53857,114.12265,22.54963
"342",114.11234,22.6011,114.10353,22.6223
"343",114.01297,22.5598,114.01957,22.5422
"344",113.93152,22.55507,114.03305,22.52965
"345",113.91415,22.52997,113.9128,22.52045
"346",114.06703,22.52513,114.12389,22.54748
"347",114.12465,22.54793,114.12743,22.55007
"348",114.02665,22.52482,114.1585,22.56675
"349",114.1257,22.54915,114.12579,22.54525
"350",114.0563,22.65327,114.06648,22.57555
"351",113.95,22.54222,113.92185,22.51797
"352",113.915,22.50767,113.91497,22.50648
"353",114.1213,22.56153,114.12238,22.56347
"354",114.12235,22.5635,114.1223,22.56345
"355",114.10703,22.57485,114.03395,22.62695
"356",114.01828,22.54035,114.03747,22.54628
"357",114.12088,22.5569,114.1166,22.54762
"358",114.10725,22.60125,114.09998,22.60588
"359",114.05138,22.52862,114.06595,22.53122
"360",114.08862,22.53755,114.12015,22.54155
"361",114.0244,22.52847,113.98417,22.5368
"362",114.10225,22.5484,114.13015,22.55248
"363",114.05797,22.54982,114.05552,22.57118
"364",113.97393,22.52297,113.92537,22.50492
"365",114.03362,22.51848,114.11826,22.54022
"366",113.9249,22.49775,113.92577,22.49495
"367",113.90825,22.49017,113.91946,22.5024
"368",114.0817,22.5382,114.07753,22.5365
"369",113.91946,22.53087,113.92004,22.52762
"370",113.91373,22.49824,113.92336,22.49105
"371",113.92912,22.56529,113.82195,22.67449
"372",114.11953,22.55957,114.11829,22.54361
"373",114.04349,22.60466,114.08419,22.57068
"374",114.09689,22.56045,114.11243,22.59279
"375",113.93803,22.56518,114.12392,22.54576
"376",114.05846,22.57112,114.02065,22.66341
"377",114.04294,22.56743,114.04958,22.5665
"378",114.08315,22.57155,114.10712,22.61243
"379",114.1111,22.55866,114.11452,22.59909
"380",114.08305,22.54921,114.06709,22.53186
"381",113.91988,22.53395,113.92404,22.49485
"382",113.92406,22.50456,113.92632,22.49014
"383",113.92204,22.51642,113.92271,22.52005
"384",113.9221,22.51772,113.86826,22.58131
"385",114.11732,22.53931,113.98635,22.52394
"386",113.94728,22.58388,113.97225,22.53977
"387",114.07922,22.53532,114.09708,22.54117
"388",114.22677,22.54895,114.226,22.5539
"389",114.03098,22.52678,114.06068,22.52233
"390",114.1076,22.56912,114.11785,22.55212
"391",114.09602,22.53797,114.12203,22.54648
"392",114.11083,22.54262,114.09779,22.53832
"393",114.1154,22.53958,114.12035,22.54425
"394",114.11405,22.53923,114.22107,22.55483
"395",114.0516,22.5257,114.04058,22.53248
"396",114.04252,22.56367,114.05444,22.56968
"397",114.07823,22.54625,113.90003,22.58342
"398",114.11317,22.53817,114.11887,22.54055
"399",114.11292,22.53805,114.0888,22.54453
"400",114.04874,22.56717,114.0446,22.56145
"401",113.81733,22.64527,114.08632,22.55367
"402",113.89896,22.76527,113.90723,22.72093
"403",114.10267,22.55262,114.13287,22.54902
"404",114.12538,22.54517,114.13628,22.54488
"405",114.12132,22.5442,114.07204,22.53707
"406",114.09773,22.54345,114.06343,22.53925
"407",114.06857,22.52998,114.17543,22.56247
"408",114.07708,22.53573,114.08137,22.55368
"409",113.92078,22.52012,113.90884,22.51662
"410",114.05887,22.52755,114.05904,22.53397
"411",114.032,22.81082,113.9931,22.84383
"412",114.04953,22.53697,114.10387,22.54917
"413",114.12117,22.54357,114.10635,22.54455
"414",114.13573,22.55055,114.16528,22.56833
"415",114.03813,22.56298,114.12687,22.5759
"416",113.9272,22.54557,114.03622,22.55872
"417",114.0909,22.53868,114.13153,22.54858
"418",114.08767,22.55917,114.10484,22.54925
"419",114.03065,22.5223,114.06848,22.52373
"420",114.12497,22.55947,114.15884,22.56035
"421",114.11707,22.53967,114.12106,22.54772
"422",114.11868,22.53772,114.064,22.53812
"423",114.08208,22.54262,114.08428,22.5457
"424",114.10928,22.5434,114.12922,22.55062
"425",114.1124,22.54425,114.15832,22.56515
"426",114.11135,22.5431,114.11787,22.5414
"427",114.03063,22.52225,114.05775,22.52582
"428",114.09942,22.54762,114.11858,22.54632
"429",114.11481,22.54523,114.13316,22.5632
"430",114.12138,22.5398,114.11372,22.53793
"431",114.11996,22.54443,114.15885,22.61082
"432",114.03259,22.52602,114.06855,22.52397
"433",114.03395,22.52863,114.05624,22.53142
"434",114.067,22.52527,114.11916,22.5391
"435",113.9193,22.48858,114.08465,22.53772
"436",114.12003,22.54167,114.13222,22.55462
"437",114.11995,22.54168,114.16538,22.5665
"438",114.06192,22.5712,114.03925,22.56983
"439",114.08456,22.54705,114.1026,22.53885
"440",114.08681,22.541,113.97025,22.5399
"441",114.0827,22.55812,114.09932,22.55567
"442",114.07857,22.55492,114.05647,22.5236
"443",114.0225,22.5364,114.05087,22.54918
"444",114.22967,22.55657,114.11929,22.6108
"445",114.21255,22.6611,114.20927,22.65012
"446",114.12312,22.54043,114.12675,22.54978
"447",114.11718,22.53987,114.07815,22.53373
"448",114.08302,22.54357,114.0627,22.5376
"449",113.9638,22.54442,114.02143,22.53647
"450",114.11555,22.54433,114.04895,22.53147
"451",113.89574,22.5751,114.04342,22.5432
"452",114.06773,22.52755,114.06118,22.52132
"453",113.9636,22.54282,114.06298,22.5355
"454",114.0314,22.56715,114.0488,22.5693
"455",114.11253,22.54565,114.08867,22.54342
"456",114.02848,22.56808,114.05666,22.53737
"457",114.06745,22.52442,114.06351,22.51897
"458",114.03835,22.5306,114.09615,22.53807
