"","taxi_no","avg_fare_per_trip","total_fare"
"260","B79V49",4.56125,72.98
"261","B813E1",2.81142857142857,19.68
"262","B54X90",2.82,33.84
"263","B91P59",2.832,28.32
"264","B17S51",2.70857142857143,18.96
"265","BKZ531",2.91428571428571,40.8
"266","BKZ546",2.76,16.56
"267","B73X60",2.76,22.08
"268","BGS519",2.73230769230769,35.52
"269","B04F17",2.86285714285714,40.08
"270","BGC332",2.76,27.6
"271","BGA105",2.89846153846154,37.68
"272","B74V52",12.67,101.36
"273","BHE262",2.67,21.36
"274","B24U65",2.85,22.8
"275","BGG667",2.76,22.08
"276","B56X90",2.58,10.32
"277","B68X47",2.76,16.56
"278","B86W41",2.70857142857143,18.96
"279","B33G41",2.96,26.64
"280","B02T55",2.67692307692308,34.8
"281","BYV343",2.99166666666667,17.95
"282","B54X61",2.72,24.48
"283","B823E7",2.64,23.76
"284","BFZ509",2.78769230769231,36.24
"285","B23P38",12.76,102.08
"286","B83F65",2.616,26.16
"287","B22K71",2.544,25.44
"288","B90F21",2.688,26.88
"289","B10G90",2.832,28.32
"290","B06F57",2.76,16.56
"291","B558E9",2.88,34.56
"292","B62E08",2.78769230769231,36.24
"293","B06P95",2.88,25.92
"294","B87W56",2.7,32.4
"295","BFE187",3.01714285714286,21.12
"296","BWG468",2.544,25.44
"297","B89B23",2.60285714285714,18.22
"298","B835E0",2.64,23.76
"299","BFJ962",12.56,113.04
"300","B01T40",2.8,25.2
"301","B93Q47",2.832,28.32
"302","B47A42",12.76,102.08
"303","B48X35",2.85,22.8
"304","B79W92",2.62153846153846,34.08
"305","B641C1",12.895,206.32
"306","B52D29",12.72,114.48
"307","B77E29",2.70857142857143,18.96
"308","B79A60",2.64,23.76
"309","B56X78",2.832,28.32
"310","B11W49",2.832,28.32
"311","BFJ077",12.76,76.56
"312","B30X43",2.81142857142857,19.68
"313","B61U46",2.94,11.76
"314","B19T93",2.688,26.88
"315","B02F81",2.94,11.76
"316","BTV459",2.8,25.2
"317","B11K50",2.78117647058824,47.28
"318","BGA113",2.67,21.36
"319","B13K90",2.94,47.04
"320","B72F37",2.784,41.76
"321","B187F3",2.94,23.52
"322","B13S31",12.76,153.12
"323","B48W68",2.60571428571429,18.24
"324","B1L308",2.85818181818182,31.44
"325","B066E5",2.72,24.48
"326","B32K25",2.736,41.04
"327","B56E45",2.76,33.12
"328","B59E90",12.688,63.44
"329","BQH985",2.67,21.36
"330","B05P25",2.76,22.08
"331","BGT822",2.832,42.48
"332","BQG592",2.66181818181818,29.28
"333","B05E40",2.76,16.56
"334","B11S66",12.82,153.84
"335","B13K61",2.66181818181818,29.28
"336","B61G76",2.67,21.36
"337","B15K23",2.7,32.4
"338","B65X55",2.72,24.48
"339","BGS888",2.66181818181818,29.28
"340","B64V61",12.76,76.56
"341","BGC731",2.94,23.52
"342","BKP560",2.76,16.56
"343","BGS896",2.60571428571429,18.24
"344","BKZ472",2.70857142857143,18.96
"345","BFZ648",2.76,22.08
"346","B807C9",2.76,27.6
"347","B41F46",2.7,32.4
"348","BGC788",2.86285714285714,40.08
"349","BBV387",2.544,12.72
"350","B717C3",2.94,35.28
"351","B83F60",2.76,33.12
"352","BGA047",2.76,27.6
"353","BGS813",2.70857142857143,18.96
"354","BKZ678",2.688,13.44
"355","BGS487",2.56,23.04
"356","BWG957",2.88,17.28
"357","B51F75",2.59636363636364,28.56
"358","B49W03",2.784,41.76
"359","B744C9",2.64,31.68
"360","BNE846",2.688,13.44
"361","B537E5",2.76,33.12
"362","B72E27",2.50285714285714,17.52
"363","BGC371",2.72727272727273,30
"364","BQG580",2.66181818181818,29.28
"365","B76F53",2.66181818181818,29.28
"366","B75B02",2.755,11.02
"367","B53X67",2.73230769230769,35.52
"368","B06P80",2.76,38.64
"369","B41W07",2.8,25.2
"370","B70P33",12.64,75.84
"371","B28W17",2.82,33.84
"372","BGB369",2.78769230769231,36.24
"373","B11G80",2.70857142857143,37.92
"374","BFZ490",3.12,6.24
"375","B04R59",2.616,26.16
"376","B73W36",12.7272727272727,140
"377","B07G01",2.76,16.56
"378","BGD468",2.51076923076923,32.64
"379","B08R93",2.73230769230769,35.52
"380","B05P03",2.736,41.04
"381","BGD857",2.67,21.36
"382","B54E37",2.616,26.16
"383","B09X46",2.72727272727273,30
"384","BBQ208",2.72,24.48
"385","BGS041",2.79272727272727,30.72
"386","B67S76",2.78769230769231,36.24
"387","BFE156",2.76,16.56
"388","B81F32",2.70857142857143,37.92
"389","BLS842",2.60571428571429,18.24
"390","B85G40",2.76,44.16
"391","B80F10",2.84307692307692,36.96
"392","B533A0",2.688,26.88
"393","BJC633",2.736,41.04
"394","BHE358",2.976,14.88
"395","BGG635",2.544,12.72
"396","B35G03",2.76,44.16
"397","B41F78",2.72,24.48
"398","BGS656",2.8,25.2
"399","B56L96",2.688,13.44
"400","B12U08",2.94,23.52
"401","BGD765",2.85,45.6
"402","B36F36",2.76,38.64
"403","B13N91",2.64,7.92
"404","BJC823",2.76,16.56
"405","B22F81",2.82,33.84
"406","BLS140",2.76,22.08
"407","BGC418",2.79272727272727,30.72
"408","BLS863",2.67,21.36
"409","BGC222",2.94,11.76
"410","B13N29",2.53090909090909,27.84
"411","B757C2",2.67,21.36
"412","BKZ527",2.52,15.12
"413","B10U27",2.544,12.72
"414","B571C9",2.85818181818182,31.44
"415","B546C9",3,18
"416","B54Z90",2.76,27.6
"417","B579C1",2.7,32.4
"418","B62S89",2.76,49.68
"419","BGN717",12.8430769230769,166.96
"420","BGR675",2.85818181818182,31.44
"421","B13K45",2.94,35.28
"422","B759C7",2.688,13.44
"423","B42Z75",12.688,126.88
"424","B76W41",2.688,13.44
"425","B574E2",2.92363636363636,32.16
